Days,temperature_2m_variance,rain_variance,precipitation_probability_variance,relative_humidity_2m_variance,wind_speed_10m_variance
Day 1,0.0,0.0,0.0,0.0,0.0
Day 2,0.0,0.0,0.0,0.0,0.0
Day 3,0.0,0.0,0.0,0.0,0.0
Day 4,0.0,0.0,0.0,0.0,0.0
Day 5,0.0,0.0,0.0,0.0,0.0
Day 6,0.0,0.0,0.0,0.0,0.0
Day 7,0.0,0.0,0.0,0.0,0.0
Day 8,0.0,0.0,0.0,0.0,0.0
Day 9,0.0,0.0,0.0,0.0,0.0
Day 10,0.0,0.0,0.0,0.0,0.0
Day 11,0.0,0.0,0.0,0.0,0.0
Day 12,0.0,0.0,0.0,0.0,0.0
Day 13,0.0,0.0,0.0,0.0,0.0
Day 14,0.0,0.0,0.0,0.0,0.0
Day 15,0.0,0.0,0.0,0.0,0.0
Day 16,0.19,0.05,10.0,0.75,0.56
Day 17,0.0,0.0,0.0,0.0,0.0
Day 18,0.0,0.0,0.0,0.0,0.0
Day 19,0.0,0.0,0.0,0.0,0.0
Day 20,0.0,0.0,0.0,0.0,0.0
Day 21,0.0,0.0,0.0,0.0,0.0
Day 22,0.0,0.0,0.0,0.0,0.0
Day 23,0.0,0.0,0.0,0.0,0.0
Day 24,0.0,0.0,0.0,0.0,0.0
Day 25,0.0,0.0,0.0,0.0,0.0
Day 26,0.0,0.0,0.0,0.0,0.0
Day 27,0.0,0.0,0.0,0.0,0.0
Day 28,0.0,0.0,0.0,0.0,0.0
Day 29,0.0,0.0,0.0,0.0,0.0
Day 30,0.0,0.0,0.0,0.0,0.0
