date,temperature_2m,rain,precipitation_probability,relative_humidity_2m,wind_speed_10m
2026-05-15 00:00:00-07:00,9.298,0.0,10.0,87.0,13.281023
2026-05-15 01:00:00-07:00,9.048,0.0,9.0,82.0,11.212135
2026-05-15 02:00:00-07:00,8.598,0.0,10.0,86.0,5.8048253
2026-05-15 03:00:00-07:00,8.998,0.0,3.0,85.0,12.641076
2026-05-15 04:00:00-07:00,8.448,0.0,6.0,86.0,14.182355
2026-05-15 05:00:00-07:00,7.998,0.0,6.0,84.0,11.4862
2026-05-15 06:00:00-07:00,7.798,0.0,13.0,91.0,9.885262
2026-05-15 07:00:00-07:00,7.848,0.0,10.0,89.0,16.279802
2026-05-15 08:00:00-07:00,8.998,0.0,12.0,85.0,15.876775
2026-05-15 09:00:00-07:00,10.348,0.0,12.0,77.0,17.826363
2026-05-15 10:00:00-07:00,10.648,0.1,31.0,78.0,22.7057
2026-05-15 11:00:00-07:00,10.898,0.70000005,43.0,81.0,15.856354
2026-05-15 12:00:00-07:00,10.248,1.1,26.0,81.0,20.304129
2026-05-15 13:00:00-07:00,10.898,0.1,32.0,81.0,19.33639
2026-05-15 14:00:00-07:00,10.948,2.8,41.0,84.0,24.248611
2026-05-15 15:00:00-07:00,10.848,0.0,44.0,79.0,22.915916
2026-05-15 16:00:00-07:00,11.448,0.0,25.0,79.0,19.770523
2026-05-15 17:00:00-07:00,10.698,2.5,35.0,78.0,20.12461
2026-05-15 18:00:00-07:00,9.498,1.7,54.0,89.0,14.264361
2026-05-15 19:00:00-07:00,9.598,0.6,34.0,86.0,10.829958
2026-05-15 20:00:00-07:00,8.898,0.5,36.0,85.0,18.875126
2026-05-15 21:00:00-07:00,8.398,0.0,38.0,86.0,12.031756
2026-05-15 22:00:00-07:00,7.698,0.0,24.0,84.0,11.177405
2026-05-15 23:00:00-07:00,7.348,0.0,22.0,84.0,9.107359
2026-05-16 00:00:00-07:00,6.848,0.0,16.0,86.0,9.290511
2026-05-16 01:00:00-07:00,7.648,0.0,16.0,83.0,11.709688
2026-05-16 02:00:00-07:00,7.548,0.0,17.0,84.0,13.70839
2026-05-16 03:00:00-07:00,6.698,0.0,16.0,83.0,12.984975
2026-05-16 04:00:00-07:00,5.998,0.0,18.0,85.0,13.276144
2026-05-16 05:00:00-07:00,5.948,0.0,15.0,87.0,11.988594
2026-05-16 06:00:00-07:00,5.948,0.0,14.0,87.0,10.514218
2026-05-16 07:00:00-07:00,6.798,0.0,13.0,85.0,9.885262
2026-05-16 08:00:00-07:00,7.048,0.0,11.0,85.0,12.10157
2026-05-16 09:00:00-07:00,8.498,0.0,10.0,84.0,12.074766
2026-05-16 10:00:00-07:00,9.748,0.0,11.0,76.0,9.021574
2026-05-16 11:00:00-07:00,10.798,0.0,15.0,70.0,11.200571
2026-05-16 12:00:00-07:00,11.348,0.0,21.0,66.0,10.514218
2026-05-16 13:00:00-07:00,11.698,0.0,26.0,61.0,13.513193
2026-05-16 14:00:00-07:00,12.448,0.0,48.0,61.0,8.766573
2026-05-16 15:00:00-07:00,12.148,0.0,46.0,67.0,13.513193
2026-05-16 16:00:00-07:00,11.248,1.8,50.0,69.0,11.212135
2026-05-16 17:00:00-07:00,8.248,4.2000003,33.0,80.0,28.312117
2026-05-16 18:00:00-07:00,8.648,3.2,46.0,80.0,19.85556
2026-05-16 19:00:00-07:00,8.648,2.2,46.0,85.0,6.2145634
2026-05-16 20:00:00-07:00,8.398,0.0,46.0,85.0,12.371645
2026-05-16 21:00:00-07:00,7.198,0.0,46.0,86.0,8.891343
2026-05-16 22:00:00-07:00,6.698,0.0,46.0,87.0,7.968939
2026-05-16 23:00:00-07:00,6.548,0.0,46.0,89.0,8.699793
2026-05-17 00:00:00-07:00,6.048,0.0,0.0,91.0,8.905908
2026-05-17 01:00:00-07:00,5.848,0.0,0.0,88.0,12.015589
2026-05-17 02:00:00-07:00,5.798,0.0,0.0,89.0,9.346143
2026-05-17 03:00:00-07:00,6.6735,0.0,0.0,91.5,7.1667356
2026-05-17 04:00:00-07:00,7.0740004,0.0,0.0,92.0,6.698806
2026-05-17 05:00:00-07:00,6.9620004,0.0,0.0,93.0,4.73506
2026-05-17 06:00:00-07:00,7.15,0.0,1.0,94.0,2.5455842
2026-05-17 07:00:00-07:00,7.65,0.0,1.0,90.0,3.0758414
2026-05-17 08:00:00-07:00,7.95,0.0,1.0,88.0,2.5455842
2026-05-17 09:00:00-07:00,9.85,0.0,1.0,78.0,3.6179552
2026-05-17 10:00:00-07:00,10.95,0.0,1.0,71.0,3.2599385
2026-05-17 11:00:00-07:00,12.55,0.0,1.0,63.0,1.609969
2026-05-17 12:00:00-07:00,12.35,0.0,0.0,63.0,5.04
2026-05-17 13:00:00-07:00,13.35,0.0,0.0,58.0,6.9899354
2026-05-17 14:00:00-07:00,15.85,0.0,0.0,48.0,5.1165614
2026-05-17 15:00:00-07:00,16.25,0.0,0.0,45.0,4.896529
2026-05-17 16:00:00-07:00,16.55,0.0,0.0,43.0,5.8048253
2026-05-17 17:00:00-07:00,16.35,0.0,0.0,43.0,8.311245
2026-05-17 18:00:00-07:00,15.75,0.0,0.0,45.0,9.3876505
2026-05-17 19:00:00-07:00,14.55,0.0,0.0,49.0,8.707238
2026-05-17 20:00:00-07:00,12.15,0.0,0.0,59.0,6.28713
2026-05-17 21:00:00-07:00,10.45,0.0,0.0,62.0,6.489992
2026-05-17 22:00:00-07:00,10.95,0.0,0.0,60.0,6.2145634
2026-05-17 23:00:00-07:00,10.65,0.0,0.0,65.0,6.6185193
